OBJECTID,Id,grid_code,YEAR,Shapearea,Shapelen
344,1691,55705893,2040,20.8323284,18.3294965964699
345,1693,55705893,2040,41.66557542,26.6801148071382
346,1695,55705893,2040,83.33121994,36.6593914352205
347,1696,55705893,2040,41.66563872,26.6802087068808
348,1697,55705893,2040,20.83281936,18.3296931060331
349,1700,55705893,2040,41.66612174,26.6804034889055
350,1702,55705893,2040,20.83350179,18.3299818369696
351,1717,55705893,2040,41.73034653,26.7063878778183
352,1786,55705893,2040,20.91618064,18.3629303892384
353,1791,55705893,2040,20.916210325,18.3629259076589
354,1797,55705893,2040,20.91601511,18.3628322815767
355,1802,55705893,2040,20.916482955,18.3630361030792
356,1803,55705893,2040,20.91627429,18.3629364890286
357,1807,55705893,2040,41.8333762,26.7481952449961
358,1809,55705893,2040,62.74947395,36.7259679878373
359,1818,55705893,2040,62.75016868,36.726275292827
360,1847,55705893,2040,104.58468104,55.0895029329111
361,1863,55705893,2040,104.58591574,55.0897106185885
362,1865,55705893,2040,62.75259945,35.1342678854444
363,1867,55705893,2040,397.428932015,128.543380236578
364,1889,55705893,2040,104.58850744,46.7049695740846
365,1890,55705893,2040,20.9175347,18.3634423297855
366,1892,55705893,2040,62.75319501,36.7269850521604
367,1899,55705893,2040,62.753000175,38.3193900739222
368,1900,55705893,2040,83.671707,45.11293401908
369,1903,55705893,2040,83.67304728,46.7053608698371
370,1907,55705893,2040,20.918951775,18.364042325137
371,1944,55705893,2040,41.87383653,28.3489434994317
372,1947,55705893,2040,20.937677,18.3714799514168
373,1948,55705893,2040,41.87602511,26.7655171787369
374,1969,55705893,2040,20.949864355,18.3763645319714
375,1970,55705893,2040,20.94986083,18.3763629513432
376,1971,55705893,2040,20.94961084,18.3762626901012
377,1973,55705893,2040,20.949868135,18.3763661319919
378,1975,55705893,2040,20.9498668,18.3763655961966
379,1980,55705893,2040,20.95010604,18.3764611320139
380,1984,55705893,2040,41.900939875,26.7755825810487
381,1985,55705893,2040,20.9503446,18.376556329152
382,1986,55705893,2040,41.90093864,26.7755820845596
383,1987,55705893,2040,188.554605395,80.3269477407514
384,1999,55705893,2040,20.95087454,18.3767699392864
385,2000,55705893,2040,20.95062315,18.3766691139882
386,2003,55705893,2040,20.95110144,18.376860103587
387,2005,55705893,2040,230.4608838,80.3281654266068
388,2010,55705893,2040,20.95110509,18.3768616474052
389,2087,55705893,2040,20.96864445,18.3838616238432
390,2104,55705893,2040,41.937456765,26.7902888577699
391,2116,55705893,2040,41.937707285,26.790389115018
392,2138,55705893,2040,20.96864316,18.3838611075716
393,2184,55705893,2040,20.969092495,18.3840565547906
394,2196,55705893,2040,20.969342455,18.3841568020373
395,2201,55705893,2040,41.9384737,28.3615871275294
396,2205,55705893,2040,20.96905312,18.3840565537272
397,2210,55705893,2040,20.969342455,18.3841568020373
398,2218,55705893,2040,209.691552575,80.3719566180116
399,2247,55705893,2040,20.9693875,18.3841593151979
400,2249,55705893,2040,41.93848503,28.3615911382702
401,2255,55705893,2040,83.883737095,46.7470589380346
402,2264,55705893,2040,1405.412690225,415.058640048279
403,2267,55705893,2040,125.85865323,68.2743209597256
404,2277,55705893,2040,41.954660895,26.7971865322502
405,2288,55705893,2040,188.797171825,95.0719688559191
406,2293,55705893,2040,41.955413065,28.3649798404248
407,2294,55705893,2040,104.88950206,56.7300594438758
408,2313,55705893,2040,20.97885685,18.3879553088887
409,2319,55705893,2040,20.97910474,18.3880545759351
410,2349,55705893,2040,104.93297931,45.195634594983
411,2364,55705893,2040,20.988363525,18.3917505018763
412,2366,55705893,2040,20.98815375,18.3916507362732
413,2370,55705893,2040,20.988363525,18.3917505018763
414,2374,55705893,2040,20.98836569,18.3917514435648
415,2375,55705893,2040,62.96600391,36.7837989057889
416,2382,55705893,2040,20.98861562,18.3918516808242
417,2387,55705893,2040,20.98857447,18.3918507357231
418,2388,55705893,2040,20.9888244,18.3919509709779
419,2397,55705893,2040,20.98836254,18.3917500348174
420,2402,55705893,2040,62.966465265,36.7839998335637
421,2473,55705893,2040,21.00613404,18.3988600318179
422,2474,55705893,2040,21.01291749,18.4015644433273
423,2477,55705893,2040,42.0337092,28.3802630024801
424,2479,55705893,2040,21.01860642,18.4038434703521
425,2497,55705893,2040,21.020833945,18.4047528350322
426,2498,55705893,2040,21.02116034,18.404852595194
427,2499,55705893,2040,42.043487565,26.8330758483813
428,2501,55705893,2040,126.13121157,45.2383279644079
429,2511,55705893,2040,21.023403475,18.4057518781229
430,2517,55705893,2040,42.047517705,28.3829802647291
431,2525,55705893,2040,21.02461164,18.4062348154127
432,2527,55705893,2040,42.049146295,28.3833538715333
433,2528,55705893,2040,84.098370475,46.7894884921892
434,2529,55705893,2040,21.0250331,18.4064348150346
435,2530,55705893,2040,21.02461164,18.4062348154127
436,2531,55705893,2040,21.02461164,18.4062348154127
437,2532,55705893,2040,21.02453424,18.4062348154132
438,2533,55705893,2040,42.04922328,26.835450769462
439,2561,55705893,2040,21.02681553,18.4071338491268
440,2573,55705893,2040,63.08031367,35.2672647880236
441,2581,55705893,2040,84.10741874,43.6974807370234
442,2582,55705893,2040,21.02727756,18.4073346198907
443,2588,55705893,2040,21.027887815,18.4075495263804
444,2590,55705893,2040,21.027887815,18.4075495263804
445,2597,55705893,2040,315.422628635,97.3760673933333
446,2733,55705893,2040,21.04553528,18.4146225212481
447,2800,55705893,2040,21.04980736,18.4163196465739
448,2824,55705893,2040,42.10263784,26.8570137745528
449,2825,55705893,2040,21.051319135,18.4169094943241
