OBJECTID,BEGIN_MP,END_MP,ROW_OWNER,FREIGHT_OP,SUBDIVISIO,SHRTLN_NAM,SHRTLN_COD,PASS_OP,PASS_NETWO,COMM_OP,COMM_NETWO,RECR_OP,RECR_NETWO,STATUS,RR_CLSS,TRK_CLSS,PASS_SPEED,FRT_SPEED,FRT_DNS,NUM_TRACK,STRACNET,CR63,SHAPE_LENG,SHAPE_Length
336,33.9,34.8,UP,UP,Coast, , ,Amtrak,"Capitol Corridor,Coast Starlight",SJRRC,ACE, , ,1,I,4,70,60,1,1,S,CTC,1384.23673017,1746.31483284085
337,34.8,36.5,UP,UP,Coast, , ,Amtrak,"Capitol Corridor,Coast Starlight",SJRRC,ACE, , ,1,I,4,70,60,1,1,S,CTC,2290.99164361,2890.42258702945
338,36.5,38.5,UP,UP,Coast, , ,Amtrak,"Capitol Corridor,Coast Starlight",SJRRC,ACE, , ,1,I,4,70,60,1,1,S,CTC,3058.73564291,3858.53172597804
339,38.5,40.7,UP,UP,Coast, , ,Amtrak,"Capitol Corridor,Coast Starlight",SJRRC,ACE, , ,1,I,3,50,40,1,1,S,CTC,4124.08949587,5199.67497363137
340,29.7,30.1,UP,UP,Niles, , ,Amtrak,Capitol Corridor,SJRRC,ACE, , ,1,I,1,15,10,1,1, ,CTC,772.90809361,975.580093670907
341,29.3,29.7,UP,"UP,BNSF",Niles, , ,Amtrak,Capitol Corridor, , , , ,1,I,3,35,35,1,1, ,CTC,453.61402361,572.85764204191
342,20.9,29.3,UP,"UP,BNSF",Niles, , ,Amtrak,Capitol Corridor, , , , ,1,I,4,79,50,1,1, ,CTC,13860.2824946,17510.9542411001
343,18.7,20.9,UP,"UP,BNSF",Niles, , ,Amtrak,Capitol Corridor, , , , ,1,I,4,79,50,1,1, ,CTC,3474.50374952,4393.41068279234
344,17.6,18.7,UP,"UP,BNSF",Niles, , ,Amtrak,Capitol Corridor, , , , ,1,I,4,79,50,1,1, ,CTC,1783.16247922,2255.28361129951
345,13.5,13.7,UP,"UP,BNSF",Niles, , ,Amtrak,Capitol Corridor, , , , ,1,I,4,79,60,1,2,S,"2MT,CTC",302.56169465,382.92889860274
